Ben,Tum
0.000448244,0.203357
0.01245872,0.1936765
0.108506,0.3253716
0.2456526,0.2830157
0.000173706,0.4304079
0.4662394,0.2368574
0.3649992,0.2718812
0.277849,0.2949391
0.07239079,0.2457498
0.004691573,0.3189086
0.1922291,0.243069
0.003694454,0.2043402
0.148458,0.2920003
0.001123258,0.1856039
0.000603857,0.3013521
0.05761794,0.3062757
0.01104536,0.4115205
0.04462141,0.3461104
0.07251894,0.3799673
0.5976638,0.2289328
0.0403235,0.2646989
0.206989,0.3568252
0.08081221,0.3635519
0.5090943,0.2180163
0.01985136,0.3383006
0.08089066,0.3663352
0.01138988,0.2768651
0.7372895,0.3230291
0.6670569,0.2434346
0.01105943,0.3482707
0.007801292,0.3062607
0.2674492,0.3712529
0.01633652,0.2253794
0.2142734,0.1929619
0.1048394,0.2968139
0.003028942,0.3512781
0.03848547,0.3309963
0.04828605,0.2152049
0.01613267,0.2420636
0.002279025,0.2635529
0.00364442,0.4071474
0.00051517,0.303857
0.1677478,0.3641192
0.5308129,0.3433717
0.03944568,0.2679308
0.09713426,0.2913365
0.08336503,0.3190663
0.001804199,0.1822332
0.02349445,0.2867106
0.08044058,0.3561041
0.005639188,0.3033151
0.1906433,0.3434063
0.8904775,0.2558465
0.001099849,0.270726
0.4828901,0.234086
0.002700887,0.2927142
0.02252738,0.3476581
0.4069676,0.2859837
0.001522564,0.1953647
0.007012982,0.1562321
0.000537787,0.3626029
0.7168408,0.3784243
0.232021,0.2180255
0.02203565,0.3643214
0.05355596,0.4327014
0.02566617,0.3355836
0.006960053,0.4257832
0.1801802,0.3968059
0.2726448,0.2710267
0.003184955,0.3121242
0.04376175,0.3750411
0.01959479,0.2675223
0.1794443,0.3073068
0.04300661,0.2448091
0.1497272,0.2311842
0.000694047,0.1962562
0.04945846,0.2295114
0.1708035,0.2936107
0.2359838,0.2421745
0.3840925,0.3130566
1.535078,0.09248045
0.5132305,0.2561121
2.665808,0.253069
0.06096297,0.1246913
0.09261435,0.2185503
0.09962883,0.3986889
0.002497427,0.3964004
0.01446244,0.3837382
0.02602607,0.2435373
0.0056836,0.254202
0.1475987,0.4201584
0.1582201,0.3168195
0.3493107,0.3855104
0.07795819,0.2457689
0.01782567,0.134402
0.1818043,0.1845885
0.0268486,0.2912126
0.02247389,0.1427469
0.009500068,0.267216
0.04907623,0.2078429
0.04036383,0.2673197
0.3206202,0.2751513
0.6901636,0.3528469
0.003176422,0.3969278
0.01778027,0.3345457
0.02392179,0.3341903
0.5760695,0.3273105
0.1892737,0.3737359
0.1019869,0.2602115
0.08679058,0.3010158
0.1195307,0.1640328
0.003761052,0.2368956
0.1848003,0.1889196
0.06196485,0.2537742
0.01402688,0.4002234
0.06546605,0.3171537
0.1663742,0.3124247
0.5229266,0.2666215
5.32E-05,0.2816121
0.05552021,0.315201
0.03861545,0.1657924
0.07333166,0.3151762
0.04356541,0.2787325
0.01554442,0.173238
0.2953205,0.2624512
0.3676803,0.2198596
0.5186638,0.2122215
0.01839802,0.119193
0.2965154,0.2540191
0.008848374,0.1987419
0.04450788,0.2270424
0.2745996,0.2574682
0.8094202,0.3031081
0.2648847,0.2776226
0.02136913,0.4432661
0.01497628,0.2508961
1.53E-05,0.3404981
0.07424932,0.1760679
0.02857966,0.258536
0.1148349,0.220177
0.2802949,0.2057675
0.002302747,0.348101
0.01028964,0.3847816
0.418497,0.1829115
0.1783683,0.3281707
0.07844726,0.3604707
0.928767,0.2979802
0.000203477,0.3191462
0.02255642,0.4266353
0.131468,0.2663633
0.04308487,0.3128738
0.1607451,0.3082654
0.2339826,0.2140556
0.02408963,0.30358
0.001965533,0.2367731
0.02277837,0.2499803
0.002862428,0.3494307
0.249225,0.174968
0.03790981,0.2876309
0.004907308,0.3020947
0.03644624,0.1947779
0.141249,0.1479911
0.1357795,0.3004356
0.06517454,0.3223216
0.2751595,0.2260173
0.09874266,0.2554372
0.7733724,0.228673
0.02006165,0.290067
0.08793877,0.3544994
0.1979258,0.3594741
0.1258575,0.2397047
0.1898041,0.3071886
0.00696435,0.1584701
0.1072452,0.2173411
0.3125538,0.3530237
0.3641152,0.1931805
0.5637899,0.3192064
0.3626516,0.3058648
0.001556614,0.3516712
0.09990402,0.2241849
0.04566668,0.1843631
0.1367191,0.3320465
0.2530988,0.2513319
0.0544604,0.238713
0.1128546,0.2800485
0.3554336,0.2551366
0.09750469,0.1899163
0.3099194,0.1782454
0.08577084,0.1730484
0.002762686,0.393838
0.015511,0.2266269
0.255518,0.1978948
0.1524432,0.3334124
0.000896997,0.1388114
1.192659,0.2996704
0.2675708,0.2536202
0.04608964,0.2591153
9.24E-05,0.3320236
0.1825379,0.2061811
0.4902287,0.3508778
0.000693306,0.2129777
0.1207979,0.3557276
0.05094483,0.2102626
0.1933713,0.286019
0.02614048,0.2892815
0.4182805,0.3344374
0.2480677,0.3825037
0.2070504,0.275501
0.02107318,0.4062129
0.03688124,0.1848826
0.569675,0.1815714
0.07083017,0.2099853
0.1466394,0.2151409
0.455181,0.2613837
0.674899,0.2996314
0.01932449,0.2121138
0.02705288,0.2111664
0.1283857,0.1972939
0.02309961,0.2669143
0.05394149,0.369833
0.07920142,0.2038742
0.035242,0.2758651
0.001021328,0.1544124
0.01701638,0.3266447
0.1150376,0.3324702
0.1056579,0.3654808
0.06676754,0.2127235
0.02636484,0.2626594
0.000479914,0.2523521
0.006160372,0.2032083
0.02898326,0.3291824
0.007463716,0.3610651
0.7019992,0.3010208
0.005990369,0.259464
0.1306419,0.2802631
0.01277003,0.2069469
0.2445792,0.2079912
0.2104057,0.3753967
0.0459206,0.2172867
0.2641405,0.133692
0.08967526,0.2235356
0.004143408,0.338251
0.2135668,0.2398308
0.2279948,0.2838095
0.05150712,0.320336
0.08172601,0.2442368
0.06622974,0.1455576
0.009572995,0.3225693
7.27E-07,0.2547688
0.001271683,0.2333529
0.2085614,0.3275921
0.07079461,0.1153153
0.1034793,0.2073177
0.009407265,0.4207861
0.7628574,0.3031161
0.1138043,0.2523891
1.092756,0.2520362
0.03046659,0.3281231
0.1383359,0.2928567
0.01845195,0.202758
0.000632115,0.2346938
0.2889827,0.3608867
0.368922,0.1570299
0.2731989,0.2202724
0.001266997,0.3177184
0.009340334,0.1790118
0.001820084,0.2563948
0.09834494,0.3167397
0.3155134,0.4425134
0.04649928,0.2703483
0.3410159,0.1847514
0.001155982,0.2446547
0.2336359,0.2038398
0.02174044,0.3091101
0.0253855,0.2049845
0.002656208,0.2559251
0.2959475,0.2190381
0.8806764,0.2659927
0.001953679,0.3266963
0.04388312,0.2504368
0.0504001,0.1266121
0.1554079,0.345159
0.01501183,0.324322
0.4592402,0.3213798
1.042957,0.306444
0.5367063,0.2966437
0.2720784,0.1907924
0.1369165,0.2794597
0.02494445,0.3529133
0.6140122,0.27216
0.125412,0.3892707
0.090208,0.3498981
0.09802933,0.3334285
0.3000932,0.3082201
0.001609187,0.2592727
0.005781212,0.278072
0.002321725,0.1790446
0.4933472,0.2865009
0.1857506,0.3135537
0.04521518,0.2196039
0.03008637,0.2233646
0.002270721,0.1040558
0.368531,0.3486794
0.1938152,0.2599299
0.07829605,0.3012266
0.4646735,0.1957199
0.01718663,0.2917566
0.000168404,0.216025
0.4283842,0.2423837
0.3016054,0.2601389
0.2443927,0.3170169
0.06134821,0.2645272
0.08444055,0.1838955
0.1508864,0.2220634
0.07678576,0.2064785
0.04963983,0.2250153
0.3500607,0.1286811
0.2670387,0.1719286
0.1391856,0.160007
0.04236346,0.3201056
0.1382633,0.2927664
0.08371448,0.4066398
0.00095769,0.4302758
0.06715908,0.3629625
0.000735445,0.1745299
0.1932239,0.1771846
0.00037632,0.3190344
0.1037966,0.2991139
0.08579394,0.4415869
0.2078889,0.3612974
7.51E-06,0.1186923
0.001360445,0.3917984
0.6419031,0.2411541
0.05319551,0.3034592
0.04163522,0.132365
0.1763145,0.210508
0.0017136,0.2077949
0.1192975,0.3376855
0.06382245,0.1970433
0.0283884,0.3292156
0.04194748,0.19904
0.02724498,0.2862338
0.09418734,0.203278
0.2993505,0.336525
0.002201677,0.2042311
0.3285867,0.3424656
0.2410279,0.2286508
0.004598592,0.2840771
0.003950412,0.2361568
0.2672877,0.2563909
0.04509046,0.1992937
0.1324649,0.29392
0.03464351,0.2109234
0.007436495,0.2443334
0.2553415,0.3471471
0.004206103,0.1916707
0.01314889,0.2023345
0.09350305,0.1911831
0.2896947,0.2176464
0.03786205,0.349521
0.2198721,0.2538497
0.4066962,0.1335017
0.1333391,0.4185683
0.1262054,0.2034049
0.4837729,0.2267593
0.01155857,0.3163018
0.1119475,0.2866415
0.0289769,0.2253763
0.009601054,0.1572715
0.07066319,0.2467768
0.1367577,0.1867315
0.09393518,0.231813
0.03113903,0.1140493
0.02468187,0.1099953
0.397899,0.2951803
0.09696683,0.2550156
0.3868653,0.1643094
0.000271611,0.2045199
0.02499651,0.2918863
0.1074946,0.3397355
0.3762793,0.2511756
0.01863904,0.3394162
0.01831401,0.2850151
0.6357813,0.3120475
0.2936733,0.2618791
1.328365,0.2734554
0.01709132,0.3205013
0.1077525,0.1861433
0.1523934,0.2785093
0.1240806,0.3578099
0.02116296,0.1745108
0.1133731,0.3357649
0.1823776,0.387048
0.3198297,0.2685952
0.001653233,0.2620824
0.06005479,0.3280094
0.01152066,0.2912487
0.3093573,0.4772713
0.1785664,0.1039314
0.1853276,0.2728345
2.45E-05,0.3294322
0.1813554,0.2175407
0.06383841,0.2541536
0.08869879,0.1995957
0.1722496,0.3823108
4.98E-06,0.3032569
0.477209,0.2545085
0.07219685,0.2064986
0.2805748,0.269565
0.5906474,0.147108
0.01687661,0.328426
0.5662227,0.3168767
0.01064781,0.2095587
0.1193821,0.3929148
0.05368112,0.273034
0.116904,0.4108326
0.06638067,0.2203603
0.0257353,0.3500541
0.000273779,0.2980205
0.7049406,0.305542
0.001901541,0.2654413
0.2470784,0.1973324
0.1461377,0.2463119
0.137324,0.2968996
0.09992938,0.3714295
0.02662892,0.3174345
0.4121044,0.2524952
0.1394792,0.3319641
0.03181581,0.3897676
0.3180695,0.2915143
0.006429273,0.1224876
0.000767165,0.2748973
0.3449069,0.2099744
0.06145323,0.4426041
1.208288,0.3005635
0.114388,0.3022059
0.01850981,0.2851593
0.000868376,0.3640235
3.98E-05,0.3449781
1.019455,0.3724633
0.02639107,0.3411852
0.000375989,0.1692592
6.91E-06,0.214012
0.1398347,0.1014668
0.3117832,0.2846001
1.014114,0.2822062
0.01439284,0.3440802
0.01138915,0.3529519
0.01220971,0.2381651
0.02885258,0.3738312
0.02459972,0.3444335
0.05709733,0.3388943
0.01792557,0.06912427
0.05115629,0.2722747
0.06070428,0.2449911
0.3090875,0.3118239
0.1644807,0.3127167
0.03020521,0.1624792
0.004313432,0.2716255
0.01904109,0.2559605
0.00269038,0.3548186
0.1016089,0.3274287
0.6520648,0.287151
0.0115918,0.2538162
0.1928561,0.2769019
0.5190813,0.3795598
0.369368,0.1010163
0.09179735,0.36822
0.01755933,0.359336
0.04510729,0.3095338
0.5377856,0.3366731
